gndr,nm,cnt
FEMALE,Chloe,131
FEMALE,Olivia,109
FEMALE,Mia,88
FEMALE,Sophia,71
FEMALE,Emma,71
FEMALE,Amelia,60
FEMALE,Charlotte,57
FEMALE,Emily,53
FEMALE,Grace,48
FEMALE,Isabella,43
FEMALE,Ella,42
FEMALE,Hannah,41
FEMALE,Ava,41
FEMALE,Evelyn,41
FEMALE,Bella,40
FEMALE,Aria,40
FEMALE,Hailey,38
FEMALE,Sarah,38
FEMALE,Arya,37
FEMALE,Claire,35
FEMALE,Fatima,34
FEMALE,Ellie,34
FEMALE,Zoe,33
FEMALE,Maryam,33
FEMALE,Kayla,33
FEMALE,Audrey,30
FEMALE,Anna,29
FEMALE,Avery,29
FEMALE,Abigail,29
FEMALE,Maya,26
FEMALE,Alyssa,26
FEMALE,Celine,24
FEMALE,Jasmine,24
FEMALE,Inaaya,24
FEMALE,Zoey,24
FEMALE,Riley,24
FEMALE,Tenzin,24
FEMALE,Alice,24
FEMALE,Sofia,24
FEMALE,Emilia,24
FEMALE,Fiona,23
FEMALE,Joanna,23
FEMALE,Alina,23
FEMALE,Sophie,22
FEMALE,Ayesha,22
FEMALE,Zainab,22
FEMALE,Eva,22
FEMALE,Annie,22
FEMALE,Luna,22
FEMALE,Anaya,22
FEMALE,Leah,22
FEMALE,Angela,21
FEMALE,Amaya,21
FEMALE,Elena,21
FEMALE,Mila,21
FEMALE,Inaya,20
FEMALE,Anabia,20
FEMALE,Zara,19
FEMALE,Penelope,19
FEMALE,Ariana,19
FEMALE,Manha,19
FEMALE,Katherine,18
FEMALE,Nina,18
FEMALE,Scarlett,17
FEMALE,Aliza,17
FEMALE,Eleanor,17
FEMALE,Eliana,17
FEMALE,Layla,17
FEMALE,Phoebe,17
FEMALE,Natalie,17
FEMALE,Kylie,17
FEMALE,Zahra,17
FEMALE,Aiza,17
FEMALE,Irene,17
FEMALE,Harper,17
FEMALE,Jannatul,17
FEMALE,Vivian,16
FEMALE,Jocelyn,16
FEMALE,Ashley,16
FEMALE,Ariel,16
FEMALE,Jessica,16
FEMALE,Madeline,16
FEMALE,Sara,16
FEMALE,Cynthia,16
FEMALE,Ayat,16
FEMALE,Rachel,15
FEMALE,Stella,15
FEMALE,Amy,15
FEMALE,Khadija,15
FEMALE,Melody,15
FEMALE,Angelina,15
FEMALE,Catherine,15
FEMALE,Madison,15
FEMALE,Julia,14
FEMALE,Abby,14
FEMALE,Nora,14
FEMALE,Ariella,13
FEMALE,Michelle,13
FEMALE,Naomi,13
FEMALE,Aleena,13
FEMALE,Aurora,13
FEMALE,Athena,13
FEMALE,Allison,13
FEMALE,Elise,13
FEMALE,Kaylee,13
FEMALE,Elizabeth,13
FEMALE,Ivy,13
FEMALE,Ada,13
FEMALE,Ophelia,12
FEMALE,Isla,12
FEMALE,Karen,12
FEMALE,Daisy,12
FEMALE,Mariam,12
FEMALE,Alexandra,12
FEMALE,Lily,12
FEMALE,Kiara,12
FEMALE,Cecilia,12
FEMALE,Zoya,12
FEMALE,Iris,12
FEMALE,Joy,12
FEMALE,Erin,12
FEMALE,Miya,11
FEMALE,Rhea,11
FEMALE,Kira,11
FEMALE,Stephanie,11
FEMALE,Elina,11
FEMALE,Aaliyah,11
FEMALE,Skylar,11
FEMALE,Alisha,11
FEMALE,Ruby,11
FEMALE,Norah,11
FEMALE,Violet,11
FEMALE,Kelly,11
FEMALE,Esther,11
FEMALE,Angie,11
FEMALE,Vicky,10
FEMALE,Hoorain,10
FEMALE,Madeleine,10
FEMALE,Jannat,10
FEMALE,Ayra,10
FEMALE,Serena,10
FEMALE,Helen,10
FEMALE,Vanessa,10
FEMALE,Josephine,10
FEMALE,Alayna,10
FEMALE,Aliya,10
FEMALE,Lydia,10
FEMALE,Muntaha,10
FEMALE,Dua,10
FEMALE,Selina,10
FEMALE,Nicole,10
FEMALE,Hazel,10
FEMALE,Aisha,10
FEMALE,Lena,10
FEMALE,Amara,10
FEMALE,Janice,10
FEMALE,Nabiha,10
FEMALE,Ava,100
FEMALE,Madison,59
FEMALE,Skylar,50
FEMALE,Riley,47
FEMALE,Amelia,41
FEMALE,Olivia,40
FEMALE,Zuri,39
FEMALE,Isabella,38
FEMALE,Fatoumata,35
FEMALE,Zoey,35
FEMALE,Serenity,35
FEMALE,Chloe,34
FEMALE,Fatima,33
FEMALE,Aria,33
FEMALE,Leah,32
FEMALE,Melody,31
FEMALE,Mariam,30
FEMALE,Nova,30
FEMALE,Amina,30
FEMALE,Aaliyah,29
FEMALE,Layla,29
FEMALE,Brielle,29
FEMALE,Mia,29
FEMALE,Grace,28
FEMALE,Nyla,27
FEMALE,Sophia,27
FEMALE,Aisha,26
FEMALE,Wynter,25
FEMALE,Miracle,25
FEMALE,Kylie,25
FEMALE,Kayla,24
FEMALE,Kehlani,24
FEMALE,Autumn,24
FEMALE,Reign,24
